"","CA_MPA_Name_Short","year","classcode","site_designation","status","density"
"1","Abalone Cove SMCA",2011,"MACPYRAD","SMCA","mpa",0.328240740740741
"2","Abalone Cove SMCA",2012,"MACPYRAD","SMCA","mpa",0.296296296296296
"3","Abalone Cove SMCA",2013,"MACPYRAD","SMCA","mpa",0.152083333333333
"4","Abalone Cove SMCA",2014,"MACPYRAD","SMCA","mpa",0.0611111111111111
"5","Abalone Cove SMCA",2015,"MACPYRAD","SMCA","mpa",0.207833133253301
"6","Abalone Cove SMCA",2016,"MACPYRAD","SMCA","mpa",0.371230158730159
"7","Abalone Cove SMCA",2017,"MACPYRAD","SMCA","mpa",0.337
"8","Abalone Cove SMCA",2018,"MACPYRAD","SMCA","mpa",0.298730158730159
"9","Abalone Cove SMCA",2019,"MACPYRAD","SMCA","mpa",0.606209150326797
"10","Abalone Cove SMCA",2020,"MACPYRAD","SMCA","mpa",0.296258503401361
"11","Anacapa Island SMR",2007,"MACPYRAD","SMR","mpa",0.304269862494975
"12","Anacapa Island SMR",2008,"MACPYRAD","SMR","mpa",0.299223670949861
"13","Anacapa Island SMR",2009,"MACPYRAD","SMR","mpa",0.251780759073212
"14","Anacapa Island SMR",2010,"MACPYRAD","SMR","mpa",0.361462872672878
"15","Anacapa Island SMR",2011,"MACPYRAD","SMR","mpa",0.216543278743489
"16","Anacapa Island SMR",2012,"MACPYRAD","SMR","mpa",0.227306914863647
"17","Anacapa Island SMR",2014,"MACPYRAD","SMR","mpa",0.310792178949194
"18","Anacapa Island SMR",2015,"MACPYRAD","SMR","mpa",0.289624809006344
"19","Anacapa Island SMR",2016,"MACPYRAD","SMR","mpa",0.152893936629569
"20","Anacapa Island SMR",2017,"MACPYRAD","SMR","mpa",0.395303374763946
"21","Anacapa Island SMR",2018,"MACPYRAD","SMR","mpa",0.329555065389669
"22","Anacapa Island SMR",2019,"MACPYRAD","SMR","mpa",0.454699100404144
"23","Anacapa Island SMR",2020,"MACPYRAD","SMR","mpa",0.395450627839492
"24","Blue Cavern Onshore SMCA",2011,"MACPYRAD","SMCA","mpa",0.327969348659004
"25","Blue Cavern Onshore SMCA",2012,"MACPYRAD","SMCA","mpa",0.24160767975839
"26","Blue Cavern Onshore SMCA",2019,"MACPYRAD","SMCA","mpa",0.247144945697577
"27","Blue Cavern Onshore SMCA",2020,"MACPYRAD","SMCA","mpa",0.160886034255599
"28","Campus Point SMCA",2001,"MACPYRAD","SMCA","mpa",0.255357142857143
"29","Campus Point SMCA",2002,"MACPYRAD","SMCA","mpa",0.285119047619048
"30","Campus Point SMCA",2003,"MACPYRAD","SMCA","mpa",1.290625
