"","site","year","zone","transect","CA_MPA_Name_Short","site_status","site_designation","SPUL_bio","SPUL_legal_bio","ALLURCH","MACPYRAD","MESFRAAD","PANINT","SPUL","SPUL_legal","STRPURAD"
"9","ABALONE_COVE_KELP_W",2010,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0,0,95,289,34,4,0,0,61
"10","ABALONE_COVE_KELP_W",2010,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,667,69,206,2,0,0,461
"11","ABALONE_COVE_KELP_W",2010,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"12","ABALONE_COVE_KELP_W",2010,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"13","ABALONE_COVE_KELP_W",2010,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,284,13,87,0,1,1,197
"14","ABALONE_COVE_KELP_W",2010,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,72,178,32,0,1,1,40
"15","ABALONE_COVE_KELP_W",2010,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.00979706888514642,0,0,0,0,0,1,0,0
"16","ABALONE_COVE_KELP_W",2010,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.112875267932676,0.112875267932676,0,0,0,0,1,1,0
"17","ABALONE_COVE_KELP_W",2011,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0,0,969,0,69,1,0,0,900
"18","ABALONE_COVE_KELP_W",2011,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,746,27,146,0,0,0,600
"19","ABALONE_COVE_KELP_W",2011,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"20","ABALONE_COVE_KELP_W",2011,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"21","ABALONE_COVE_KELP_W",2011,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,170,337,110,0,1,1,60
"22","ABALONE_COVE_KELP_W",2011,"MID","2","Abalone Cove SMCA","mpa","SMCA",0,0,468,345,400,0,0,0,68
"23","ABALONE_COVE_KELP_W",2011,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.311275567865462,0.225750535865352,0,0,0,0,4,2,0
"24","ABALONE_COVE_KELP_W",2011,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.115118989174291,0.0723564731742364,0,0,0,0,2,1,0
"25","ABALONE_COVE_KELP_W",2012,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,403,0,22,0,1,1,381
"26","ABALONE_COVE_KELP_W",2012,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,879,0,177,0,0,0,702
"27","ABALONE_COVE_KELP_W",2012,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"28","ABALONE_COVE_KELP_W",2012,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"29","ABALONE_COVE_KELP_W",2012,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,339,235,135,0,1,1,204
"30","ABALONE_COVE_KELP_W",2012,"MID","2","Abalone Cove SMCA","mpa","SMCA",0,0,121,85,57,0,0,0,64
"31","ABALONE_COVE_KELP_W",2012,"MID","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"32","ABALONE_COVE_KELP_W",2012,"MID","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"33","ABALONE_COVE_KELP_W",2013,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,390,0,60,0,1,0,330
"34","ABALONE_COVE_KELP_W",2013,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,297,0,72,0,0,0,225
"35","ABALONE_COVE_KELP_W",2013,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"36","ABALONE_COVE_KELP_W",2013,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"37","ABALONE_COVE_KELP_W",2013,"MID","1","Abalone Cove SMCA","mpa","SMCA",0,0,285,73,155,0,0,0,130
"38","ABALONE_COVE_KELP_W",2013,"MID","2","Abalone Cove SMCA","mpa","SMCA",0,0,509,0,168,0,0,0,341
"39","ABALONE_COVE_KELP_W",2013,"MID","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"40","ABALONE_COVE_KELP_W",2013,"MID","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"41","ABALONE_COVE_KELP_W",2014,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0,0,1170,0,37,0,0,0,1133
"42","ABALONE_COVE_KELP_W",2014,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,773,0,23,0,0,0,750
"43","ABALONE_COVE_KELP_W",2014,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"44","ABALONE_COVE_KELP_W",2014,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"45","ABALONE_COVE_KELP_W",2014,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.113962394283451,0.112875267932676,74,22,60,0,2,1,14
"46","ABALONE_COVE_KELP_W",2014,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,93,0,26,0,1,1,67
"47","ABALONE_COVE_KELP_W",2014,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.0022445489114855,0,0,0,0,0,1,0,0
"48","ABALONE_COVE_KELP_W",2014,"MID","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"49","ABALONE_COVE_KELP_W",2015,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.00648362808883566,0,8,243,0,0,1,0,8
"50","ABALONE_COVE_KELP_W",2015,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,7,171,1,0,0,0,6
"51","ABALONE_COVE_KELP_W",2015,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"52","ABALONE_COVE_KELP_W",2015,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0.0427625160000547,0,0,0,0,0,1,0,0
"53","ABALONE_COVE_KELP_W",2015,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.00802899617824369,0,59,262,56,0,1,0,3
"54","ABALONE_COVE_KELP_W",2015,"MID","2","Abalone Cove SMCA","mpa","SMCA",0,0,69,82,64,0,0,0,5
"55","ABALONE_COVE_KELP_W",2015,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.358586042209197,0.315823526209143,0,0,0,0,2,1,0
"56","ABALONE_COVE_KELP_W",2015,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.00069688099153614,0,0,0,0,0,1,0,0
"57","ABALONE_COVE_KELP_W",2015,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.19317490477719,0.16591595977582,1,57,1,2,5,1,0
"58","ABALONE_COVE_KELP_W",2015,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.281821897471618,0.233049322731799,5,104,5,5,5,1,0
"59","ABALONE_COVE_KELP_W",2015,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.00304176533819001,0,0,0,0,0,1,0,0
"60","ABALONE_COVE_KELP_W",2015,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.16591595977582,0.16591595977582,0,0,0,0,1,1,0
"61","ABALONE_COVE_KELP_W",2016,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.00069688099153614,0,14,322,4,1,1,0,10
"62","ABALONE_COVE_KELP_W",2016,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0.000216365575229538,0,24,346,8,0,1,0,16
"63","ABALONE_COVE_KELP_W",2016,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"64","ABALONE_COVE_KELP_W",2016,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"65","ABALONE_COVE_KELP_W",2016,"MID","1","Abalone Cove SMCA","mpa","SMCA",0,0,12,435,5,0,0,0,7
"66","ABALONE_COVE_KELP_W",2016,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.00139376198307228,0,4,359,4,0,2,0,0
"67","ABALONE_COVE_KELP_W",2016,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.000628220703642694,0,0,0,0,0,2,0,0
"68","ABALONE_COVE_KELP_W",2016,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.00787739007190794,0,0,0,0,0,3,0,0
"69","ABALONE_COVE_KELP_W",2016,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.0104722930641826,0,1,281,1,0,5,0,0
"70","ABALONE_COVE_KELP_W",2016,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.0271599536456766,0,1,128,1,0,5,0,0
"71","ABALONE_COVE_KELP_W",2016,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.0479084670110752,0,0,0,0,0,5,0,0
"72","ABALONE_COVE_KELP_W",2016,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.00238921153595345,0,0,0,0,0,3,0,0
"73","ABALONE_COVE_KELP_W",2017,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0,0,7,206,1,0,0,0,6
"74","ABALONE_COVE_KELP_W",2017,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,9,193,4,0,0,0,5
"75","ABALONE_COVE_KELP_W",2017,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0.145137363314549,0.112875267932676,0,0,0,0,3,1,0
"76","ABALONE_COVE_KELP_W",2017,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"77","ABALONE_COVE_KELP_W",2017,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0322620953818727,0,3,209,3,0,2,0,0
"78","ABALONE_COVE_KELP_W",2017,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.0226359031084828,0,0,304,0,0,3,0,0
"79","ABALONE_COVE_KELP_W",2017,"MID","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"80","ABALONE_COVE_KELP_W",2017,"MID","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"81","ABALONE_COVE_KELP_W",2017,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,0,28,0,1,1,0,0
"82","ABALONE_COVE_KELP_W",2017,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.0329529967998661,0,0,71,0,0,3,0,0
"83","ABALONE_COVE_KELP_W",2017,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.208678475775874,0.16591595977582,0,0,0,0,2,1,0
"84","ABALONE_COVE_KELP_W",2017,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.0449300529934526,0,0,0,0,0,2,0,0
"85","ABALONE_COVE_KELP_W",2018,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0,0,66,197,27,0,0,0,39
"86","ABALONE_COVE_KELP_W",2018,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,39,310,6,6,0,0,33
"87","ABALONE_COVE_KELP_W",2018,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0.0948214996709627,0.0723564731742364,13,385,10,1,2,1,3
"88","ABALONE_COVE_KELP_W",2018,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,39,270,6,3,1,0,33
"89","ABALONE_COVE_KELP_W",2018,"INNER","5","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,0,0,0,0,1,0,0
"90","ABALONE_COVE_KELP_W",2018,"INNER","6","Abalone Cove SMCA","mpa","SMCA",0.0876925689935074,0,0,0,0,0,3,0,0
"91","ABALONE_COVE_KELP_W",2018,"INNER","7","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"92","ABALONE_COVE_KELP_W",2018,"INNER","8","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"93","ABALONE_COVE_KELP_W",2018,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0427625160000547,0,5,288,4,0,1,0,1
"94","ABALONE_COVE_KELP_W",2018,"MID","2","Abalone Cove SMCA","mpa","SMCA",0,0,8,338,4,0,0,0,4
"95","ABALONE_COVE_KELP_W",2018,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.0427625160000547,0,0,0,0,0,1,0,0
"96","ABALONE_COVE_KELP_W",2018,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.112875267932676,0.112875267932676,0,0,0,0,1,1,0
"97","ABALONE_COVE_KELP_W",2018,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.288588296593642,0.278791227708496,2,52,2,0,3,2,0
"98","ABALONE_COVE_KELP_W",2018,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,0,42,0,0,1,0,0
"99","ABALONE_COVE_KELP_W",2018,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.290832017835257,0.238272432950056,0,0,0,0,4,2,0
"100","ABALONE_COVE_KELP_W",2018,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.00514683027759137,0,0,0,0,0,1,0,0
"101","ABALONE_COVE_KELP_W",2019,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.143777927293621,0,9,419,2,1,5,0,7
"102","ABALONE_COVE_KELP_W",2019,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0,0,1,503,0,0,0,0,1
"103","ABALONE_COVE_KELP_W",2019,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0.0656153139607159,0,8,526,7,4,1,0,1
"104","ABALONE_COVE_KELP_W",2019,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,48,374,25,1,0,0,23
"105","ABALONE_COVE_KELP_W",2019,"INNER","5","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"106","ABALONE_COVE_KELP_W",2019,"INNER","6","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"107","ABALONE_COVE_KELP_W",2019,"INNER","7","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"108","ABALONE_COVE_KELP_W",2019,"INNER","8","Abalone Cove SMCA","mpa","SMCA",0.0656153139607159,0,0,0,0,0,1,0,0
"109","ABALONE_COVE_KELP_W",2019,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.0973517136758917,0,0,18,0,0,3,0,0
"110","ABALONE_COVE_KELP_W",2019,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.257736071740654,0.231875882051058,7,9,3,1,4,3,4
"111","ABALONE_COVE_KELP_W",2019,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.0258601896895957,0,0,0,0,0,1,0,0
"112","ABALONE_COVE_KELP_W",2019,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.0427625160000547,0,0,0,0,0,1,0,0
"113","ABALONE_COVE_KELP_W",2019,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.247789496180645,0.103820457580224,0,6,0,3,5,1,0
"114","ABALONE_COVE_KELP_W",2019,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.581823305181891,0.400659718479222,0,0,0,2,8,3,0
"115","ABALONE_COVE_KELP_W",2019,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.0871629357025857,0.0871629357025857,0,0,0,0,1,1,0
"116","ABALONE_COVE_KELP_W",2019,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.134167108646195,0,0,0,0,0,3,0,0
"117","ABALONE_COVE_KELP_W",2020,"INNER","1","Abalone Cove SMCA","mpa","SMCA",0.0295741597212854,0,2,209,2,2,1,0,0
"118","ABALONE_COVE_KELP_W",2020,"INNER","2","Abalone Cove SMCA","mpa","SMCA",0.0224650264967263,0,2,217,2,0,1,0,0
"119","ABALONE_COVE_KELP_W",2020,"INNER","3","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"120","ABALONE_COVE_KELP_W",2020,"INNER","4","Abalone Cove SMCA","mpa","SMCA",0,0,0,0,0,0,0,0,0
"121","ABALONE_COVE_KELP_W",2020,"MID","1","Abalone Cove SMCA","mpa","SMCA",0.282653055199691,0.253078895478405,3,196,3,0,3,2,0
"122","ABALONE_COVE_KELP_W",2020,"MID","2","Abalone Cove SMCA","mpa","SMCA",0.115118989174291,0.0723564731742364,5,249,4,0,2,1,1
"123","ABALONE_COVE_KELP_W",2020,"MID","3","Abalone Cove SMCA","mpa","SMCA",0.370443684760929,0.298107009039589,0,0,0,0,5,3,0
"124","ABALONE_COVE_KELP_W",2020,"MID","4","Abalone Cove SMCA","mpa","SMCA",0.0723564731742364,0.0723564731742364,0,0,0,0,1,1,0
"125","ABALONE_COVE_KELP_W",2020,"OUTER","1","Abalone Cove SMCA","mpa","SMCA",0.185211943654016,0.112875267932676,0,0,0,2,3,1,0
"126","ABALONE_COVE_KELP_W",2020,"OUTER","2","Abalone Cove SMCA","mpa","SMCA",0.231363269975446,0.112875267932676,0,0,0,0,5,1,0
"127","ABALONE_COVE_KELP_W",2020,"OUTER","3","Abalone Cove SMCA","mpa","SMCA",0.387109716520471,0.225750535865352,0,0,0,0,5,2,0
"128","ABALONE_COVE_KELP_W",2020,"OUTER","4","Abalone Cove SMCA","mpa","SMCA",0.318884273264221,0.185231741106913,0,0,0,0,7,2,0
"129","ANACAPA_ADMIRALS_CEN",1999,"INNER","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"130","ANACAPA_ADMIRALS_CEN",1999,"INNER","4","Anacapa Island SMCA","reference","SMCA",0.0224650264967263,0,0,0,0,0,1,0,0
"131","ANACAPA_ADMIRALS_CEN",1999,"INNER","5","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"132","ANACAPA_ADMIRALS_CEN",1999,"INNER","6","Anacapa Island SMCA","reference","SMCA",0.00979706888514642,0,0,0,0,0,1,0,0
"133","ANACAPA_ADMIRALS_CEN",2004,"INMID","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"134","ANACAPA_ADMIRALS_CEN",2004,"INMID","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"135","ANACAPA_ADMIRALS_CEN",2004,"INMID","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"136","ANACAPA_ADMIRALS_CEN",2004,"INMID","4","Anacapa Island SMCA","reference","SMCA",0.0723564731742364,0.0723564731742364,0,0,0,0,1,1,0
