"","CA_MPA_Name_Short","year","PurpDiff","lnPurpDiff","MacroDiff","lnMacroDiff","MesDiff","lnMesDiff","UrchDiff","lnUrchDiff","LobDiff","lnLobDiff","time","HW","BA_HW","type","Location","Hectares","H_cat","SheepDiff","lnSheepDiff","SheepTLDiff","lnSheepTLDiff","classcode","site_designation","SheepDiffden","lnSheepDiffden"
"1","Abalone Cove SMCA",2011,5.40397350993377,1.68713451814918,1.0542830302432,0.0528609437140425,4.93122886133033,1.59558821892713,5.28672897196262,1.66519971283408,1.15384615384615,0.143100843640673,0,"N","B","SMCA","ML",1241.700755,"S",0.702634005051073,-0.352919141444466,1.01010101010101,0.0100503358535015,"SPUL","SMCA",0.775862068965517,-0.2537805207761
"2","Abalone Cove SMCA",2012,3.92090667952737,1.36632292285542,0.847732982766001,-0.165189571588655,6.59248956884562,1.88593105696808,4.34869240348692,1.46987520301273,0.695652173913044,-0.362905493689368,0,"N","B","SMCA","ML",1241.700755,"S",0.308627770617958,-1.17561935406115,0.732203389830508,-0.311696948655655,"SPUL","SMCA",0.652173913043478,-0.42744401482694
"3","Abalone Cove SMCA",2013,5.94230769230769,1.78209755831632,0.587420886075949,-0.532013704029948,5.37890625,1.68248505424909,5.83115183246073,1.76321455073839,0.857142857142857,-0.154150679827258,1,"N","B","SMCA","ML",1241.700755,"S",0.149203199226922,-1.90244614890267,0.674184357317709,-0.394251678293958,"SPUL","SMCA",0.221311475409836,-1.50818417872893
"4","Abalone Cove SMCA",2014,492,6.19847871649231,0.414814814814815,-0.87992308770328,9.375,2.23804657185647,132.125,4.8837484441904,1,0,2,"Y","D","SMCA","ML",1241.700755,"S",0.419192971933006,-0.869423911542834,0.6,-0.510825623765991,"SPUL","SMCA",0.666666666666667,-0.405465108108164
"5","Abalone Cove SMCA",2015,0.430622009569378,-0.842524581634546,0.905012401193393,-0.0998066323999705,6.1304347826087,1.81326567444902,1.9251968503937,0.655028222456336,1.08196721311475,0.0787808778531144,3,"Y","D","SMCA","ML",1241.700755,"S",0.515447733804417,-0.662719369987546,0.670939956933246,-0.399075628975179,"SPUL","SMCA",0.769230769230769,-0.262364264467491
"6","Abalone Cove SMCA",2016,5.57142857142857,1.71765149707433,2.82598943275845,1.03885854496251,3.625,1.28785428830664,6.88888888888889,1.92990980770887,0.466666666666667,-0.762140052046897,4,"Y","D","SMCA","ML",1241.700755,"S",0.694462147265027,-0.364617621851188,0.366052376333657,-1.00497885108251,"SPUL","SMCA",1.40540540540541,0.340325805937203
"7","Abalone Cove SMCA",2017,2.83333333333333,1.04145387482816,1.19685975609756,0.179701256885972,2.07407407407407,0.72951482473082,3.7037037037037,1.30933331998376,0.933333333333333,-0.0689928714869514,5,"N","A","SMCA","ML",1241.700755,"S",0.648828399295175,-0.432587005105648,0.789718755820451,-0.236078402196566,"SPUL","SMCA",0.868217054263566,-0.141313533066578
"8","Abalone Cove SMCA",2018,13.4444444444444,2.59856596826052,1.01740911418331,0.0172593116751379,8.375,2.12525107771113,20,2.99573227355399,2,0.693147180559945,6,"N","A","SMCA","ML",1241.700755,"S",0.790073057988153,-0.235629859330923,0.957238851557727,-0.0437023350151142,"SPUL","SMCA",0.853658536585366,-0.158224005214894
"9","Abalone Cove SMCA",2019,1.18918918918919,0.173271721274037,2.19838523644752,0.787723107433606,2.36842105263158,0.862223510603879,1.6875,0.523248143764548,0.588235294117647,-0.53062825106217,7,"N","A","SMCA","ML",1241.700755,"S",0.601103291247616,-0.508988493577504,1.08537652353652,0.0819269530936598,"SPUL","SMCA",0.538461538461538,-0.619039208406224
"10","Abalone Cove SMCA",2020,0.848484848484848,-0.164303051291276,1.64986176429964,0.500691505190476,1.33333333333333,0.287682072451781,1.2,0.182321556793955,0.579710144927536,-0.545227050483323,8,"N","A","SMCA","ML",1241.700755,"S",2.83513391281423,1.04208917162473,1.17184720041863,0.158581307585823,"SPUL","SMCA",2.5,0.916290731874155
