CA_MPA_Name_Short,year,y,mpa,reference,Diff,lnDiff,resp,time,HW,BA_HW,type,Location,Hectares,source,BA
Campus Point SMCA,2001,Panulirus interruptus,0,0.15217391304347827,0.061662198391420904,-2.786084203714666,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2002,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2003,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2004,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2005,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2006,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2007,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2008,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2009,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2010,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2011,Panulirus interruptus,0,0.05072463768115942,0.16467780429594273,-1.8037644153248784,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2012,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2013,Panulirus interruptus,0.13043478260869568,0,14.043478260869568,2.642158107293507,Den,1,N,B,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2014,Panulirus interruptus,0.3478260869565218,0.1521739130434783,2.2064343163538873,0.7913777810332542,Den,2,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2015,Panulirus interruptus,0.13043478260869565,0.10144927536231883,1.2600780234070224,0.23117364238512245,Den,3,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2016,Panulirus interruptus,0.39130434782608703,0.10144927536231883,3.600780234070222,1.2811505536653183,Den,4,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2017,Panulirus interruptus,1,0.10144927536231883,9.062418725617686,2.204136051932875,Den,5,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2018,Panulirus interruptus,0.7391304347826086,0.5579710144927537,1.3189589180913497,0.2768427269964077,Den,6,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2019,Panulirus interruptus,0.2173913043478261,0.10144927536231883,2.040312093628089,0.7131027832273888,Den,7,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2020,Panulirus interruptus,0.33333333333333337,0.10144927536231883,3.0806241872561775,1.1251322346531416,Den,8,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2021,Panulirus interruptus,0.2608695652173913,0.20289855072463767,1.272294077603812,0.2408216312816855,Den,9,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2022,Panulirus interruptus,0.3043478260869566,0.23671497584541062,1.2741335421969848,0.2422663728473404,Den,10,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2023,Panulirus interruptus,0.3043478260869566,0.33816425120772947,0.902872207575968,-0.10217425542945678,Den,11,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2018,Mesocentrotus franciscanus,0.013605442176870748,0.06349206349206349,0.3211971613699476,-1.1357001345265785,Den,6,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2019,Mesocentrotus franciscanus,0,0.047619047619047616,0.17355371900826447,-1.751268107873318,Den,7,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2020,Mesocentrotus franciscanus,0,0.047619047619047616,0.17355371900826447,-1.751268107873318,Den,8,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2021,Mesocentrotus franciscanus,0,0.015873015873015872,0.38650306748466257,-0.9506154744152296,Den,9,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2022,Mesocentrotus franciscanus,0.013605442176870748,0.07936507936507935,0.26414615579802087,-1.3312527085800345,Den,10,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2023,Mesocentrotus franciscanus,0.013605442176870748,0.047619047619047616,0.40968122786304606,-0.8923759147051952,Den,11,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2018,Strongylocentrotus purpuratus,0.06902086677367578,0.04307116104868914,1.4889605807037,0.3980782796803166,Den,6,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2019,Strongylocentrotus purpuratus,0.06420545746388444,0.11235955056179775,0.6064541519086974,-0.5001261480000482,Den,7,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2020,Strongylocentrotus purpuratus,0.07865168539325842,0.1367041198501873,0.6042889966811333,-0.5037027241518477,Den,8,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2021,Strongylocentrotus purpuratus,0.04333868378812199,0.10861423220973783,0.4496819883621273,-0.7992146385712491,Den,9,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2022,Strongylocentrotus purpuratus,0.052969502407704656,0.1254681647940075,0.4648287847071369,-0.7660861461297491,Den,10,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2023,Strongylocentrotus purpuratus,0.006420545746388442,0.0599250936329588,0.2348305149590634,-1.4488912379772998,Den,11,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2018,Macrocystis pyrifera,0.1154929577464789,0.14295774647887324,0.8204419889502763,-0.19791207302307134,Den,6,N,A,SMCA,ML,2734.933446,LTER,After
